2018/02/05 12:19:52 db_populator.go:106: Error 1146: Table 'academy.user' doesn't exist
2018/02/05 12:19:52 db_populator.go:99: Panic Caught in getUserAgent : runtime error: invalid memory address or nil pointer dereference 
2018/02/05 12:19:52 db_populator.go:47: Panic Caught in CreateNewUser : Panic Caught in getUserAgent : runtime error: invalid memory address or nil pointer dereference 
 
2018/02/05 12:24:30 db_populator.go:106: Error 1146: Table 'academy.user' doesn't exist
2018/02/05 12:24:30 db_populator.go:99: Panic Caught in getUserAgent : runtime error: invalid memory address or nil pointer dereference 
2018/02/05 12:24:30 db_populator.go:47: Panic Caught in CreateNewUser : Panic Caught in getUserAgent : runtime error: invalid memory address or nil pointer dereference 
 
2018/02/05 12:33:44 db_populator.go:82: User Created : 
2018/02/05 12:33:45 db_populator.go:82: User Created : 
2018/02/05 12:33:47 db_populator.go:82: User Created : 
2018/02/05 12:33:49 db_populator.go:82: User Created : 
2018/02/05 12:33:50 db_populator.go:82: User Created : 
2018/02/05 12:33:52 db_populator.go:82: User Created : 
2018/02/05 12:33:53 db_populator.go:82: User Created : 
2018/02/05 12:33:55 db_populator.go:82: User Created : 
2018/02/05 12:33:57 db_populator.go:82: User Created : 
2018/02/05 12:33:58 db_populator.go:82: User Created : 
2018/02/05 12:34:00 db_populator.go:82: User Created : 
2018/02/05 12:34:02 db_populator.go:82: User Created : 
2018/02/05 12:34:03 db_populator.go:82: User Created : 
2018/02/05 12:34:05 db_populator.go:82: User Created : 
2018/02/05 12:34:06 db_populator.go:82: User Created : 
2018/02/05 12:34:08 db_populator.go:82: User Created : 
2018/02/05 12:34:09 db_populator.go:82: User Created : 
2018/02/05 12:34:11 db_populator.go:82: User Created : 
2018/02/05 12:34:13 db_populator.go:82: User Created : 
2018/02/05 12:34:14 db_populator.go:82: User Created : 
2018/02/05 12:34:16 db_populator.go:82: User Created : 
2018/02/05 12:34:17 db_populator.go:82: User Created : 
2018/02/05 12:34:19 db_populator.go:82: User Created : 
2018/02/05 12:34:21 db_populator.go:82: User Created : 
2018/02/05 12:34:22 db_populator.go:82: User Created : 
2018/02/05 12:34:24 db_populator.go:82: User Created : 
2018/02/05 12:34:25 db_populator.go:82: User Created : 
2018/02/05 12:34:27 db_populator.go:82: User Created : 
2018/02/05 12:34:29 db_populator.go:82: User Created : 
2018/02/05 12:34:30 db_populator.go:82: User Created : 
2018/02/05 12:34:32 db_populator.go:82: User Created : 
2018/02/05 12:34:34 db_populator.go:82: User Created : 
2018/02/05 12:34:35 db_populator.go:82: User Created : 
2018/02/05 12:34:37 db_populator.go:82: User Created : 
2018/02/05 12:34:38 db_populator.go:82: User Created : 
2018/02/05 12:34:40 db_populator.go:82: User Created : 
2018/02/05 12:34:41 db_populator.go:82: User Created : 
2018/02/05 12:34:43 db_populator.go:82: User Created : 
2018/02/05 12:34:45 db_populator.go:82: User Created : 
2018/02/05 12:34:46 db_populator.go:82: User Created : 
2018/02/05 12:34:48 db_populator.go:82: User Created : 
2018/02/05 12:34:49 db_populator.go:82: User Created : 
2018/02/05 12:34:51 db_populator.go:82: User Created : 
2018/02/05 12:34:53 db_populator.go:82: User Created : 
2018/02/05 12:34:54 db_populator.go:82: User Created : 
2018/02/05 12:34:56 db_populator.go:82: User Created : 
2018/02/05 12:34:57 db_populator.go:82: User Created : 
2018/02/05 12:34:59 db_populator.go:82: User Created : 
2018/02/05 12:35:01 db_populator.go:82: User Created : 
2018/02/05 12:35:02 db_populator.go:82: User Created : 
2018/02/05 12:35:04 db_populator.go:82: User Created : 
2018/02/05 12:35:05 db_populator.go:82: User Created : 
2018/02/05 12:35:07 db_populator.go:82: User Created : 
2018/02/05 12:35:09 db_populator.go:82: User Created : 
2018/02/05 12:35:10 db_populator.go:82: User Created : 
2018/02/05 12:35:12 db_populator.go:82: User Created : 
2018/02/05 12:35:14 db_populator.go:82: User Created : 
2018/02/05 12:35:15 db_populator.go:82: User Created : 
